year,state_name, population , violent_crime , homicide , rape_legacyrevised , robbery , aggravated_assault , property_crime , burglary , larceny , motor_vehicle_theft 
1979,Massachusetts,"5,769,000","30,650",212,"1,428","11,724","17,286","310,756","92,570","152,135","66,051"
1979,Maryland,"4,149,000","33,007",406,"1,636","13,740","17,225","228,159","62,630","145,297","20,232"
1979,Maine,"1,097,000","2,221",31,131,349,"1,710","45,030","12,592","29,828","2,610"
1979,Michigan,"9,208,000","56,558",834,"4,100","20,218","31,406","509,457","138,806","315,211","55,440"
1979,Minnesota,"4,060,000","8,973",93,871,"3,754","4,255","169,376","45,183","110,827","13,366"
1979,Missouri,"4,868,000","25,662",543,"1,638","10,267","13,214","214,809","70,423","124,398","19,988"
1979,Montana,"786,000","1,762",33,162,260,"1,307","33,298","6,314","24,537","2,447"
1979,North Carolina,"5,606,000","25,009",600,"1,137","4,327","18,945","220,113","72,687","134,903","12,523"
1979,North Dakota,"657,000",403,10,54,65,274,"17,703","3,029","13,607","1,067"
1979,Nebraska,"1,574,000","3,556",65,338,"1,157","1,996","59,295","12,804","42,195","4,296"
1979,New Hampshire,"887,000","1,241",21,152,254,814,"39,373","10,635","25,856","2,882"
1979,New Jersey,"7,332,000","36,747",484,"2,037","18,332","15,894","390,018","117,421","221,552","51,045"
1979,New Mexico,"1,241,000","7,272",154,582,"1,502","5,034","64,563","18,385","41,745","4,433"
1979,Nevada,"702,000","5,866",123,418,"2,861","2,464","56,132","19,799","31,388","4,945"
1979,New York,"17,649,000","161,906","2,092","5,394","93,471","60,949","933,234","308,302","500,589","124,343"
1979,Ohio,"10,731,000","49,092",865,"3,409","20,909","23,909","501,389","138,128","316,162","47,099"
1979,Oklahoma,"2,892,000","11,719",281,953,"2,966","7,519","124,293","42,646","69,292","12,355"
1979,Oregon,"2,527,000","13,781",107,"1,121","3,299","9,254","147,264","40,682","96,823","9,759"
1979,Pennsylvania,"11,731,000","39,133",724,"2,533","17,855","18,021","370,914","109,668","215,567","45,679"
1979,Rhode Island,"929,000","3,485",30,141,"1,019","2,295","50,114","14,400","28,347","7,367"
1979,South Carolina,"2,932,000","19,889",368,"1,006","3,156","15,359","128,651","44,160","75,807","8,684"
1979,South Dakota,"689,000","1,096",14,113,140,829,"19,297","4,316","13,782","1,199"
1979,Tennessee,"4,380,000","18,135",430,"1,511","7,277","8,917","157,651","56,710","84,850","16,091"
1979,Texas,"13,385,000","67,988","2,235","6,043","25,667","34,043","725,109","239,758","412,515","72,836"
1979,Utah,"1,367,000","4,158",66,381,"1,062","2,649","70,918","16,115","50,216","4,587"
1979,Virginia,"5,197,000","15,642",447,"1,407","5,799","7,989","211,014","56,265","141,923","12,826"
1979,Vermont,"493,000",908,7,113,141,647,"25,217","7,779","15,776","1,662"
1979,Washington,"3,926,000","17,064",187,"1,821","4,739","10,317","239,285","70,024","152,204","17,057"
1979,Wisconsin,"4,720,000","7,839",160,758,"2,857","4,064","199,273","44,806","141,880","12,587"
1979,West Virginia,"1,878,000","3,156",128,291,825,"1,912","40,513","11,959","24,755","3,799"
1979,Wyoming,"450,000","1,579",41,124,190,"1,224","20,129","3,887","14,607","1,635"
1980,Total,"225,349,264","1,344,520","23,040","82,990","565,840","672,650","12,063,700","3,795,200","7,136,900","1,131,700"
1980,Alaska,"440,142","1,919",39,250,360,"1,270","22,930","5,545","14,916","2,469"
1980,Alabama,"3,861,466","17,320",509,"1,158","5,102","10,551","173,191","58,952","102,029","12,210"
1980,Arkansas,"2,284,037","7,656",210,609,"1,848","4,989","79,390","25,559","49,558","4,273"
1980,Arizona,"2,715,357","17,673",279,"1,227","5,258","10,909","204,193","58,527","132,814","12,852"
1980,California,"23,532,680","210,290","3,411","13,693","90,420","102,766","1,633,042","545,138","913,070","174,834"
1980,Colorado,"2,878,407","15,215",198,"1,510","4,608","8,899","195,872","58,455","124,514","12,903"
1980,Connecticut,"3,095,224","12,768",146,670,"6,749","5,203","169,283","52,638","95,631","21,014"
1980,District of Columbia,"635,233","12,772",200,439,"8,897","3,236","50,896","16,260","31,068","3,568"
1980,Delaware,"594,779","2,824",41,144,815,"1,824","37,482","9,698","25,077","2,707"
1980,Florida,"9,567,112","94,095","1,387","5,439","34,015","53,254","709,730","239,825","424,223","45,682"
1980,Georgia,"5,400,851","29,993",743,"2,391","10,670","16,189","272,652","91,773","160,764","20,115"
1980,Hawaii,"964,680","2,889",84,335,"1,835",635,"69,291","17,822","45,564","5,905"
1980,Iowa,"2,907,804","5,826",63,416,"1,596","3,751","132,200","31,390","93,605","7,205"
1980,Idaho,"943,629","2,957",29,211,442,"2,275","42,169","11,691","28,243","2,235"
1980,Illinois,"11,355,062","91,753","1,205","3,950","41,675","44,923","620,107","177,099","369,319","73,689"
1980,Indiana,"5,461,103","20,633",485,"1,808","7,720","10,620","248,619","71,720","153,297","23,602"
1980,Kansas,"2,354,783","9,168",163,742,"2,664","5,599","117,492","35,826","75,268","6,398"
1980,Kentucky,"3,641,479","9,711",321,698,"3,468","5,224","115,328","37,901","68,296","9,131"
1980,Louisiana,"4,199,542","27,926",661,"1,867","8,271","17,127","201,106","63,997","121,298","15,811"
1980,Massachusetts,"5,728,288","34,444",232,"1,562","13,492","19,158","313,787","99,697","153,849","60,241"
1980,Maryland,"4,192,211","35,735",399,"1,681","16,461","17,194","242,214","71,183","152,144","18,887"
1980,Maine,"1,123,670","2,173",32,145,346,"1,650","46,904","13,291","31,151","2,462"
1980,Michigan,"9,228,128","59,014",940,"4,304","22,519","31,251","557,051","160,688","342,384","53,979"
1980,Minnesota,"4,061,235","9,250",106,942,"4,025","4,177","185,668","50,602","123,050","12,016"
1980,Missouri,"4,901,288","27,177",544,"1,600","10,958","14,075","239,115","81,798","136,998","20,319"
1980,Montana,"781,592","1,740",31,164,266,"1,279","37,531","7,430","27,587","2,514"
1980,North Carolina,"5,843,665","26,589",619,"1,324","4,810","19,836","244,585","83,150","148,804","12,631"
1980,North Dakota,"652,437",352,8,62,50,232,"18,984","3,186","14,629","1,169"
1980,Nebraska,"1,563,921","3,512",69,363,"1,286","1,794","63,818","14,316","45,692","3,810"
1980,New Hampshire,"919,114","1,653",23,159,386,"1,085","41,358","12,067","26,443","2,848"
1980,New Jersey,"7,342,164","44,373",504,"2,257","22,299","19,313","425,623","137,900","234,160","53,563"
1980,New Mexico,"1,295,474","7,967",170,561,"1,657","5,579","69,490","19,335","45,613","4,542"
1980,Nevada,"800,312","7,304",160,538,"3,686","2,920","63,556","23,263","34,864","5,429"
1980,New York,"17,506,690","180,235","2,228","5,405","112,273","60,329","1,029,749","360,925","535,783","133,041"
1980,Ohio,"10,766,808","53,646",871,"3,696","24,082","24,997","531,141","157,874","327,322","45,945"
1980,Oklahoma,"3,001,252","12,589",299,"1,088","3,147","8,055","139,061","50,802","75,649","12,610"
1980,Oregon,"2,610,477","12,802",132,"1,084","3,978","7,608","161,759","45,641","106,712","9,406"
1980,Pennsylvania,"11,824,220","43,032",809,"2,722","21,039","18,462","398,761","122,800","226,496","49,465"
1980,Rhode Island,"945,835","3,864",42,162,"1,122","2,538","52,249","16,233","28,037","7,979"
1980,South Carolina,"3,064,557","20,225",348,"1,148","3,620","15,109","146,461","51,177","85,905","9,379"
1980,South Dakota,"688,217",873,5,86,138,644,"21,447","4,766","15,521","1,160"
1980,Tennessee,"4,545,590","20,824",489,"1,700","8,208","10,427","183,632","68,251","98,876","16,505"
1980,Texas,"14,169,829","77,978","2,392","6,700","29,547","39,339","792,480","262,600","450,792","79,088"
1980,Utah,"1,458,729","4,425",55,404,"1,170","2,796","81,357","19,283","57,354","4,720"
1980,Virginia,"5,323,412","16,355",459,"1,458","6,392","8,046","229,587","64,020","153,437","12,130"
1980,Vermont,"511,299",914,11,149,199,555,"24,592","7,806","15,278","1,508"
1980,Washington,"4,113,331","19,098",225,"2,169","5,558","11,146","265,338","76,598","172,468","16,272"
1980,Wisconsin,"4,680,917","8,546",136,697,"3,310","4,403","216,073","50,524","154,070","11,479"
1980,West Virginia,"1,930,787","3,547",138,306,936,"2,167","45,719","14,258","27,606","3,855"
1980,Wyoming,"468,954","1,841",29,134,208,"1,470","21,543","4,238","15,686","1,619"
1981,Total,"229,465,714","1,361,820","22,520","82,500","592,910","663,900","12,061,900","3,779,700","7,194,400","1,087,800"
1981,Alaska,"412,000","2,537",60,421,472,"1,584","24,634","5,479","16,310","2,845"
1981,Alabama,"3,916,000","18,423",465,"1,021","4,952","11,985","173,411","56,811","105,471","11,129"
1981,Arkansas,"2,294,000","7,119",209,577,"1,776","4,557","79,972","24,732","50,959","4,281"
1981,Arizona,"2,793,000","16,082",227,"1,064","4,961","9,830","196,575","57,655","127,469","11,451"
1981,California,"24,159,000","208,485","3,143","13,566","93,781","97,995","1,625,302","540,806","921,939","162,557"
1981,Colorado,"2,963,000","15,755",239,"1,352","4,726","9,438","202,119","60,197","129,658","12,264"
1981,Connecticut,"3,132,000","14,033",168,687,"7,709","5,469","168,790","52,990","96,927","18,873"
1981,District of Columbia,"636,000","14,468",223,414,"10,399","3,432","53,442","16,832","32,845","3,765"
1981,Delaware,"598,000","3,044",40,170,844,"1,990","36,958","9,627","24,759","2,572"
1981,Florida,"10,166,000","98,109","1,522","5,707","35,473","55,407","718,470","241,536","431,222","45,712"
1981,Georgia,"5,569,000","30,527",960,"2,362","10,938","16,267","282,926","93,121","171,170","18,635"
1981,Hawaii,"979,000","2,424",47,340,"1,453",584,"61,636","16,726","40,699","4,211"
1981,Iowa,"2,897,000","5,915",76,389,"1,554","3,896","130,723","30,925","93,333","6,465"
1981,Idaho,"959,000","2,717",43,198,362,"2,114","40,733","11,255","27,423","2,055"
1981,Illinois,"11,455,000","90,781","1,205","3,716","42,752","43,108","609,767","173,142","366,696","69,929"
1981,Indiana,"5,466,000","18,672",388,"1,616","7,050","9,618","229,472","63,887","147,038","18,547"
1981,Kansas,"2,381,000","8,796",151,733,"2,611","5,301","119,880","36,768","77,039","6,073"
1981,Kentucky,"3,661,000","10,599",308,766,"3,687","5,838","118,690","38,893","71,194","8,603"
1981,Louisiana,"4,305,000","27,478",673,"1,782","8,698","16,325","199,295","61,756","121,955","15,584"
1981,Massachusetts,"5,770,000","36,273",210,"1,580","15,633","18,850","300,428","95,080","147,691","57,657"
1981,Maryland,"4,261,000","37,800",421,"1,654","18,085","17,640","241,625","70,740","152,405","18,480"
1981,Maine,"1,132,000","2,214",36,145,368,"1,665","45,820","14,081","29,545","2,194"
1981,Michigan,"9,201,000","59,058",861,"4,366","23,688","30,143","571,582","171,331","341,805","58,446"
1981,Minnesota,"4,090,000","9,344",85,"1,056","4,266","3,937","184,387","52,253","121,834","10,300"
1981,Missouri,"4,938,000","26,675",516,"1,465","10,629","14,065","237,575","78,173","140,567","18,835"
1981,Montana,"792,000","2,004",27,175,302,"1,500","37,746","7,651","27,874","2,221"
1981,North Carolina,"5,951,000","25,986",541,"1,351","4,809","19,285","243,012","79,545","151,679","11,788"
1981,North Dakota,"658,000",444,15,57,85,287,"19,237","3,294","14,859","1,084"
1981,Nebraska,"1,576,000","2,861",49,323,"1,115","1,374","62,977","14,383","45,324","3,270"
1981,New Hampshire,"935,000","1,375",27,154,335,859,"39,034","11,090","25,692","2,252"
1981,New Jersey,"7,401,000","46,674",542,"2,374","24,761","18,997","410,693","128,274","231,846","50,573"
1981,New Mexico,"1,327,000","8,913",151,628,"1,868","6,266","73,369","21,405","47,252","4,712"
1981,Nevada,"845,000","7,575",148,548,"3,870","3,009","65,027","23,046","36,955","5,026"
1981,New York,"17,594,000","188,178","2,166","5,479","120,344","60,189","1,026,757","350,422","539,486","136,849"
1981,Ohio,"10,776,000","53,509",799,"3,339","25,529","23,842","533,498","160,951","326,770","45,777"
1981,Oklahoma,"3,098,000","13,223",279,"1,091","3,574","8,279","136,637","49,220","74,460","12,957"
1981,Oregon,"2,647,000","12,671",117,"1,105","4,780","6,669","173,596","52,067","112,518","9,011"
1981,Pennsylvania,"11,864,000","44,104",729,"2,662","22,137","18,576","392,872","122,372","226,701","43,799"
1981,Rhode Island,"952,000","4,205",40,170,"1,257","2,738","51,504","15,755","27,525","8,224"
1981,South Carolina,"3,166,000","20,275",330,"1,148","3,805","14,992","148,127","50,520","88,887","8,720"
1981,South Dakota,"685,000",718,12,79,122,505,"19,922","4,348","14,587",987
1981,Tennessee,"4,610,000","19,019",448,"1,735","7,916","8,920","179,737","63,811","100,526","15,400"
1981,Texas,"14,755,000","78,560","2,446","6,821","28,528","40,765","814,163","275,978","454,879","83,306"
1981,Utah,"1,516,000","4,527",50,431,"1,286","2,760","82,643","19,326","58,855","4,462"
1981,Virginia,"5,426,000","17,456",464,"1,478","7,229","8,285","235,984","63,350","161,678","10,956"
1981,Vermont,"515,000",659,22,170,142,325,"25,404","8,033","15,860","1,511"
1981,Washington,"4,212,000","18,839",213,"2,115","5,475","11,036","265,135","79,696","171,994","13,445"
1981,Wisconsin,"4,739,000","8,904",161,745,"3,249","4,749","216,997","50,813","155,892","10,292"
1981,West Virginia,"1,951,000","3,410",118,289,979,"2,024","47,681","15,122","28,884","3,675"
1981,Wyoming,"492,000","2,116",27,174,206,"1,709","23,133","4,728","16,972","1,433"
1982,Total,"231,664,458","1,322,390","21,010","78,770","553,130","669,480","11,652,000","3,447,100","7,142,500","1,062,400"
1982,Alaska,"438,000","2,732",81,374,586,"1,691","24,479","5,204","16,672","2,603"
1982,Alabama,"3,943,000","17,653",417,"1,026","4,417","11,793","165,048","49,531","104,740","10,777"
1982,Arkansas,"2,291,000","7,438",187,622,"1,805","4,824","81,259","24,547","52,450","4,262"
1982,Arizona,"2,860,000","14,785",236,"1,100","4,537","8,912","189,161","53,861","124,723","10,577"
1982,California,"24,724,000","201,429","2,779","12,529","91,988","94,133","1,599,827","499,466","935,831","164,530"
1982,Colorado,"3,045,000","15,354",182,"1,356","4,587","9,229","200,230","53,260","134,873","12,097"
1982,Connecticut,"3,153,000","12,597",164,692,"6,574","5,167","158,532","44,481","96,640","17,411"
1982,District of Columbia,"631,000","13,397",194,421,"9,137","3,645","52,295","14,774","33,435","4,086"
1982,Delaware,"602,000","3,370",32,186,737,"2,415","35,067","8,698","23,891","2,478"
1982,Florida,"10,416,000","93,411","1,409","5,587","31,002","55,413","684,166","211,932","427,462","44,772"
1982,Georgia,"5,639,000","26,963",713,"2,242","8,716","15,292","267,097","84,469","165,049","17,579"
1982,Hawaii,"994,000","2,542",31,342,"1,560",609,"62,906","16,477","42,248","4,181"
1982,Iowa,"2,905,000","5,018",67,362,"1,051","3,538","115,148","27,535","82,568","5,045"
1982,Idaho,"965,000","2,501",24,160,292,"2,025","36,902","9,958","25,256","1,688"
1982,Illinois,"11,448,000","88,644","1,005","3,424","39,700","44,515","579,954","157,273","354,106","68,575"
1982,Indiana,"5,471,000","16,444",355,"1,521","5,966","8,602","225,894","59,569","148,454","17,871"
1982,Kansas,"2,408,000","8,088",138,596,"2,095","5,259","111,156","32,382","73,416","5,358"
1982,Kentucky,"3,667,000","11,550",355,734,"3,568","6,893","119,304","37,736","73,020","8,548"
1982,Louisiana,"4,362,000","29,185",698,"1,740","9,275","17,472","202,489","62,151","125,701","14,637"
1982,Massachusetts,"5,781,000","33,031",219,"1,464","12,359","18,989","285,140","82,212","146,933","55,995"
1982,Maryland,"4,265,000","36,254",432,"1,596","15,377","18,849","220,174","60,547","142,903","16,724"
1982,Maine,"1,133,000","1,847",24,152,345,"1,326","41,884","11,862","27,863","2,159"
1982,Michigan,"9,109,000","59,806",827,"4,246","24,699","30,034","558,195","165,155","330,031","63,009"
1982,Minnesota,"4,133,000","9,062",95,938,"4,188","3,841","175,048","48,855","116,375","9,818"
1982,Missouri,"4,951,000","25,078",479,"1,283","9,554","13,762","219,888","68,881","134,383","16,624"
1982,Montana,"801,000","1,801",31,119,265,"1,386","32,908","6,759","24,079","2,070"
1982,North Carolina,"6,019,000","26,865",545,"1,322","5,168","19,830","246,593","78,787","156,701","11,105"
1982,North Dakota,"670,000",414,5,66,85,258,"17,328","3,074","13,314",940
1982,Nebraska,"1,586,000","3,641",31,329,982,"2,299","59,019","12,867","43,331","2,821"
1982,New Hampshire,"951,000","1,187",21,154,322,690,"35,229","8,987","24,115","2,127"
1982,New Jersey,"7,438,000","45,175",482,"2,149","22,880","19,664","377,016","106,418","223,978","46,620"
1982,New Mexico,"1,359,000","9,982",158,656,"1,715","7,453","79,816","22,135","53,402","4,279"
1982,Nevada,"881,000","7,096",120,542,"3,697","2,737","62,512","21,256","36,279","4,977"
1982,New York,"17,659,000","174,833","2,013","5,159","107,843","59,818","967,369","295,245","534,244","137,880"
1982,Ohio,"10,791,000","47,126",676,"3,223","19,809","23,418","485,468","141,316","302,962","41,190"
1982,Oklahoma,"3,177,000","14,103",344,"1,180","4,218","8,361","151,814","50,956","85,326","15,532"
1982,Oregon,"2,649,000","12,529",136,"1,057","4,433","6,903","161,444","47,410","106,061","7,973"
1982,Pennsylvania,"11,865,000","42,767",678,"2,448","20,806","18,835","366,903","106,867","220,623","39,413"
1982,Rhode Island,"958,000","3,849",35,186,"1,099","2,529","47,539","13,414","27,077","7,048"
1982,South Carolina,"3,203,000","23,061",348,"1,242","3,921","17,550","148,657","47,752","92,009","8,896"
1982,South Dakota,"691,000",684,19,79,118,468,"17,592","3,885","12,889",818
1982,Tennessee,"4,651,000","19,586",452,"1,651","8,173","9,310","185,692","59,934","110,316","15,442"
1982,Texas,"15,280,000","88,178","2,466","6,816","33,618","45,278","874,799","285,967","501,727","87,105"
1982,Utah,"1,554,000","4,440",53,369,"1,344","2,674","78,451","17,202","57,341","3,908"
1982,Virginia,"5,491,000","16,970",405,"1,366","6,708","8,491","216,713","53,457","153,148","10,108"
1982,Vermont,"516,000",655,12,180,119,344,"23,555","6,080","16,160","1,315"
1982,Washington,"4,245,000","17,251",185,"1,947","5,003","10,116","249,429","71,322","166,188","11,919"
1982,Wisconsin,"4,765,000","9,077",148,680,"3,393","4,856","202,447","46,564","147,177","8,706"
1982,West Virginia,"1,948,000","3,405",102,302,970,"2,031","45,514","13,985","27,962","3,567"
1982,Wyoming,"502,000","1,527",46,136,172,"1,173","22,589","4,432","16,903","1,254"
1983,Total,"233,791,994","1,258,087","19,308","78,918","506,567","653,294","10,850,543","3,129,851","6,712,759","1,007,933"
1983,Alaska,"479,000","2,940",66,486,465,"1,923","25,889","5,720","17,085","3,084"
1983,Alabama,"3,959,000","16,471",364,931,"3,895","11,281","145,890","42,485","94,279","9,126"
1983,Arkansas,"2,328,000","6,930",178,586,"1,614","4,552","74,563","22,380","48,140","4,043"
1983,Arizona,"2,963,000","14,642",213,"1,241","3,923","9,265","174,740","49,440","114,721","10,579"
1983,California,"25,174,000","194,491","2,639","12,093","85,826","93,933","1,486,487","460,460","867,123","158,904"
1983,Colorado,"3,139,000","14,955",202,"1,316","3,968","9,469","193,070","48,101","133,271","11,698"
1983,Connecticut,"3,138,000","11,767",129,627,"6,296","4,715","144,437","39,988","89,421","15,028"
1983,District of Columbia,"623,000","11,933",183,406,"7,698","3,646","45,843","12,483","29,405","3,955"
1983,Delaware,"606,000","2,746",25,229,699,"1,793","30,378","7,414","20,908","2,056"
1983,Florida,"10,680,000","88,292","1,199","5,170","28,126","53,797","635,934","191,902","400,796","43,236"
1983,Georgia,"5,732,000","26,179",483,"2,021","8,267","15,408","232,062","72,614","143,398","16,050"
1983,Hawaii,"1,023,000","2,579",57,301,"1,330",891,"56,853","13,636","38,920","4,297"
1983,Iowa,"2,905,000","5,262",68,365,"1,192","3,637","108,587","26,599","77,402","4,586"
1983,Idaho,"989,000","2,361",35,181,270,"1,875","35,872","9,206","24,979","1,687"
1983,Illinois,"11,486,000","83,629","1,112","3,619","36,625","42,273","552,857","148,445","339,061","65,351"
1983,Indiana,"5,479,000","15,547",286,"1,509","5,474","8,278","210,725","54,147","138,929","17,649"
1983,Kansas,"2,425,000","7,919",137,627,"2,038","5,117","101,928","28,318","68,735","4,875"
1983,Kentucky,"3,714,000","11,967",364,817,"3,236","7,550","115,602","36,286","71,322","7,994"
1983,Louisiana,"4,438,000","28,444",629,"1,770","8,433","17,612","194,636","57,359","123,492","13,785"
1983,Massachusetts,"5,767,000","33,264",203,"1,495","12,023","19,543","255,707","72,291","133,883","49,533"
1983,Maryland,"4,304,000","34,736",367,"1,412","14,950","18,007","195,828","52,697","127,443","15,688"
1983,Maine,"1,146,000","1,829",24,193,311,"1,301","40,357","11,415","27,022","1,920"
1983,Michigan,"9,069,000","64,993",910,"5,085","25,873","33,125","522,450","153,438","302,118","66,894"
1983,Minnesota,"4,144,000","7,909",69,927,"3,298","3,615","159,268","44,571","106,034","8,663"
1983,Missouri,"4,970,000","23,718",403,"1,330","8,346","13,639","201,418","60,496","125,140","15,782"
1983,Montana,"817,000","1,737",30,162,192,"1,353","36,208","7,420","26,918","1,870"
1983,North Carolina,"6,082,000","24,911",490,"1,332","4,840","18,249","229,540","72,348","147,068","10,124"
1983,North Dakota,"680,000",365,14,85,53,213,"17,828","2,967","13,983",878
1983,Nebraska,"1,597,000","3,477",42,339,796,"2,300","57,012","12,408","42,026","2,578"
1983,New Hampshire,"959,000","1,200",19,187,231,763,"30,987","7,882","21,359","1,746"
1983,New Jersey,"7,468,000","41,304",399,"2,266","20,086","18,553","344,296","92,391","206,778","45,127"
1983,New Mexico,"1,399,000","9,608",124,671,"1,595","7,218","79,175","21,813","53,077","4,285"
1983,Nevada,"891,000","5,838",114,457,"2,737","2,530","53,871","17,922","31,749","4,200"
1983,New York,"17,667,000","161,489","1,958","5,296","94,783","59,452","881,322","249,115","504,346","127,861"
1983,Ohio,"10,746,000","42,759",600,"3,387","17,132","21,640","441,362","124,179","280,156","37,027"
1983,Oklahoma,"3,298,000","13,964",249,"1,247","4,245","8,223","148,599","49,782","84,085","14,732"
1983,Oregon,"2,662,000","12,986",109,"1,078","4,533","7,266","153,412","46,472","98,880","8,060"
1983,Pennsylvania,"11,895,000","40,782",583,"2,449","20,501","17,249","339,321","96,425","205,408","37,488"
1983,Rhode Island,"955,000","3,392",26,160,"1,078","2,128","44,410","12,722","25,463","6,225"
1983,South Carolina,"3,264,000","20,133",321,"1,144","3,425","15,243","135,590","42,263","85,501","7,826"
1983,South Dakota,"700,000",840,15,119,111,595,"16,993","3,820","12,453",720
1983,Tennessee,"4,685,000","18,836",410,"1,682","8,094","8,650","169,110","56,498","97,785","14,827"
1983,Texas,"15,724,000","80,546","2,239","6,333","29,769","42,205","848,312","262,198","503,582","82,532"
1983,Utah,"1,619,000","4,144",56,403,"1,041","2,644","78,715","16,446","58,453","3,816"
1983,Virginia,"5,550,000","16,236",387,"1,370","6,132","8,347","203,632","51,055","142,714","9,863"
1983,Vermont,"525,000",696,19,214,146,317,"21,001","5,724","14,296",981
1983,Washington,"4,300,000","15,986",212,"1,923","4,533","9,318","245,357","70,526","163,953","10,878"
1983,Wisconsin,"4,751,000","9,070",131,861,"3,415","4,663","193,118","41,980","141,434","9,704"
1983,West Virginia,"1,965,000","3,375",96,263,869,"2,147","44,158","13,455","27,134","3,569"
1983,Wyoming,"514,000","1,219",30,110,153,926,"19,412","3,626","14,932",854
1984,Total,"235,824,902","1,273,282","18,692","84,233","485,008","685,349","10,608,473","2,984,434","6,591,874","1,032,165"
1984,Alaska,"500,000","3,108",58,458,547,"2,045","27,468","6,184","18,140","3,144"
1984,Alabama,"3,990,000","17,204",374,"1,002","3,833","11,995","138,487","39,970","89,198","9,319"
1984,Arkansas,"2,349,000","7,549",176,697,"1,587","5,089","71,554","20,810","46,807","3,937"
1984,Arizona,"3,053,000","15,756",238,"1,316","4,003","10,199","182,670","52,327","118,604","11,739"
1984,California,"25,622,000","195,589","2,717","11,702","83,924","97,246","1,461,731","443,094","857,328","161,309"
1984,Colorado,"3,178,000","14,548",184,"1,238","3,623","9,503","191,104","49,619","128,859","12,626"
1984,Connecticut,"3,154,000","12,422",122,759,"6,009","5,532","133,573","35,607","84,630","13,336"
1984,District of Columbia,"623,000","10,725",175,366,"6,087","4,097","42,799","10,954","27,471","4,374"
1984,Delaware,"613,000","2,671",25,300,711,"1,635","28,021","6,678","19,747","1,596"
1984,Florida,"10,976,000","95,270","1,264","5,570","30,311","58,125","653,429","198,446","408,153","46,830"
1984,Georgia,"5,837,000","27,935",546,"2,356","8,414","16,619","234,621","70,310","147,251","17,060"
1984,Hawaii,"1,039,000","2,409",34,314,"1,204",857,"54,573","12,609","38,329","3,635"
1984,Iowa,"2,910,000","5,781",59,375,"1,114","4,233","104,785","25,357","74,818","4,610"
1984,Idaho,"1,001,000","2,355",34,187,244,"1,890","34,398","8,751","24,138","1,509"
1984,Illinois,"11,511,000","83,441","1,033","3,594","34,965","43,849","527,124","135,068","324,649","67,407"
1984,Indiana,"5,498,000","16,781",303,"1,372","5,435","9,671","199,258","51,019","128,941","19,298"
1984,Kansas,"2,438,000","8,147",89,669,"1,745","5,644","97,646","25,577","67,028","5,041"
1984,Kentucky,"3,723,000","10,342",244,826,"2,631","6,641","99,803","29,234","63,860","6,709"
1984,Louisiana,"4,462,000","30,251",575,"1,864","8,501","19,311","197,778","54,711","129,348","13,719"
1984,Massachusetts,"5,798,000","30,362",211,"1,627","10,122","18,402","235,675","63,756","123,214","48,705"
1984,Maryland,"4,349,000","34,455",354,"1,640","13,097","19,364","192,325","51,484","123,567","17,274"
1984,Maine,"1,156,000","1,832",20,155,305,"1,352","38,944","10,267","26,811","1,866"
1984,Michigan,"9,075,000","68,979",879,"5,880","27,832","34,388","525,979","149,209","298,192","78,578"
1984,Minnesota,"4,162,000","8,802",74,"1,051","2,960","4,717","151,082","41,242","101,240","8,600"
